order_id,order_date,region,customer_segment,category,product,quantity,unit_price,revenue,profit
ORD-1000,2024-01-01,Europe,Startup,AI Solutions,NeuralBot API,11,400.86,4409.46,1934.61
ORD-1001,2024-01-02,Latin America,Startup,AI Solutions,Copilot Studio,11,439.78,4837.58,2130.69
ORD-1002,2024-01-03,Europe,Government,Cloud Storage,CloudDrive Business,2,374.9,749.8,431.45
ORD-1003,2024-01-05,Latin America,Enterprise,Developer Tools,CodePiper CI,1,186.91,186.91,76.61
ORD-1004,2024-01-06,Latin America,Government,Enterprise Software,HR Core,11,229.94,2529.34,553.08
ORD-1005,2024-01-08,Asia Pacific,Government,AI Solutions,AutoVision Suite,14,403.33,5646.62,1580.32
ORD-1006,2024-01-09,North America,Startup,Developer Tools,CodePiper CI,3,436.97,1310.91,618.91
ORD-1007,2024-01-11,Europe,Enterprise,Cloud Storage,CloudDrive Business,12,303.48,3641.76,1289.79
ORD-1008,2024-01-12,Asia Pacific,Startup,Cloud Storage,Cold Vault,12,104.92,1259.04,501.19
ORD-1009,2024-01-14,Europe,Mid-Market,Cloud Storage,CloudDrive Business,4,132.01,528.04,265.15
ORD-1010,2024-01-15,Europe,Government,Cloud Storage,S3 Glacier Sync,4,133.18,532.72,313.15
ORD-1011,2024-01-17,Asia Pacific,Government,Cloud Storage,S3 Glacier Sync,14,467.0,6538.0,3209.56
ORD-1012,2024-01-18,Latin America,Enterprise,Cloud Storage,Cold Vault,12,70.35,844.2,278.7
ORD-1013,2024-01-20,Latin America,Government,Cloud Storage,Cold Vault,5,314.04,1570.2,920.3
ORD-1014,2024-01-21,Asia Pacific,Enterprise,Enterprise Software,ERP Suite Pro,13,410.99,5342.87,1227.9
ORD-1015,2024-01-22,Asia Pacific,Enterprise,Developer Tools,CodePiper CI,12,182.07,2184.84,449.27
ORD-1016,2024-01-24,Asia Pacific,Mid-Market,Developer Tools,ContainerStack,3,397.07,1191.21,273.52
ORD-1017,2024-01-25,Latin America,Startup,Enterprise Software,HR Core,9,330.48,2974.32,988.54
ORD-1018,2024-01-27,Europe,Startup,AI Solutions,AutoVision Suite,8,349.67,2797.36,1221.1
ORD-1019,2024-01-28,North America,Enterprise,AI Solutions,NeuralBot API,3,103.82,311.46,151.15
ORD-1020,2024-01-30,Asia Pacific,Mid-Market,Cloud Storage,Cold Vault,14,272.21,3810.94,1559.03
ORD-1021,2024-01-31,Latin America,Enterprise,Cloud Storage,CloudDrive Business,3,64.14,192.42,87.47
ORD-1022,2024-02-02,Asia Pacific,Enterprise,Developer Tools,DebugPro X,5,162.18,810.9,295.29
ORD-1023,2024-02-03,Europe,Mid-Market,Developer Tools,CodePiper CI,7,180.39,1262.73,333.98
ORD-1024,2024-02-05,Latin America,Government,Enterprise Software,CRM Enterprise,9,97.47,877.23,335.64
ORD-1025,2024-02-06,Latin America,Enterprise,Developer Tools,DebugPro X,14,292.7,4097.8,2143.05
ORD-1026,2024-02-08,North America,Government,AI Solutions,AutoVision Suite,1,172.46,172.46,79.17
ORD-1027,2024-02-09,North America,Mid-Market,Enterprise Software,ERP Suite Pro,3,53.13,159.39,64.44
ORD-1028,2024-02-11,Asia Pacific,Mid-Market,Enterprise Software,ERP Suite Pro,3,171.24,513.72,152.91
ORD-1029,2024-02-12,Latin America,Government,Developer Tools,CodePiper CI,4,213.63,854.52,503.07
ORD-1030,2024-02-13,Latin America,Enterprise,Cloud Storage,Cold Vault,2,370.52,741.04,192.1
ORD-1031,2024-02-15,North America,Government,AI Solutions,NeuralBot API,2,276.21,552.42,121.86
ORD-1032,2024-02-16,Europe,Government,Enterprise Software,ERP Suite Pro,3,356.32,1068.96,440.81
ORD-1033,2024-02-18,North America,Startup,Cloud Storage,Cold Vault,4,86.38,345.52,120.19
ORD-1034,2024-02-19,Asia Pacific,Government,Cloud Storage,CloudDrive Business,4,492.54,1970.16,708.33
ORD-1035,2024-02-21,North America,Startup,Developer Tools,CodePiper CI,9,194.35,1749.15,480.33
ORD-1036,2024-02-22,Asia Pacific,Government,Developer Tools,ContainerStack,4,57.46,229.84,93.05
ORD-1037,2024-02-24,Asia Pacific,Mid-Market,Developer Tools,ContainerStack,4,473.24,1892.96,679.63
ORD-1038,2024-02-25,Asia Pacific,Startup,Developer Tools,CodePiper CI,11,203.48,2238.28,549.25
ORD-1039,2024-02-27,Latin America,Enterprise,Cloud Storage,S3 Glacier Sync,3,152.85,458.55,123.8
ORD-1040,2024-02-28,North America,Enterprise,Developer Tools,CodePiper CI,2,498.31,996.62,584.19
ORD-1041,2024-03-01,Latin America,Government,Developer Tools,ContainerStack,7,202.56,1417.92,481.64
ORD-1042,2024-03-02,North America,Government,AI Solutions,AutoVision Suite,8,449.5,3596.0,1943.18
ORD-1043,2024-03-04,Europe,Enterprise,Developer Tools,DebugPro X,8,322.89,2583.12,526.13
ORD-1044,2024-03-05,Europe,Mid-Market,AI Solutions,NeuralBot API,13,177.76,2310.88,744.44
ORD-1045,2024-03-06,Europe,Enterprise,AI Solutions,NeuralBot API,9,129.17,1162.53,240.91
ORD-1046,2024-03-08,Latin America,Startup,Developer Tools,ContainerStack,3,345.93,1037.79,443.47
ORD-1047,2024-03-09,Europe,Enterprise,AI Solutions,AutoVision Suite,7,162.71,1138.97,496.53
ORD-1048,2024-03-11,Europe,Enterprise,AI Solutions,AutoVision Suite,8,334.01,2672.08,1383.94
ORD-1049,2024-03-12,Asia Pacific,Government,Developer Tools,ContainerStack,1,137.86,137.86,67.41
ORD-1050,2024-03-14,Europe,Enterprise,AI Solutions,NeuralBot API,1,497.55,497.55,193.04
ORD-1051,2024-03-15,North America,Mid-Market,Cloud Storage,Cold Vault,12,56.96,683.52,390.51
ORD-1052,2024-03-17,North America,Enterprise,Enterprise Software,HR Core,3,491.15,1473.45,339.1
ORD-1053,2024-03-18,North America,Mid-Market,Developer Tools,ContainerStack,1,192.61,192.61,51.58
ORD-1054,2024-03-20,Europe,Government,AI Solutions,AutoVision Suite,10,468.51,4685.1,1068.98
ORD-1055,2024-03-21,Europe,Mid-Market,AI Solutions,AutoVision Suite,7,113.04,791.28,322.31
ORD-1056,2024-03-23,North America,Mid-Market,Enterprise Software,ERP Suite Pro,9,366.12,3295.08,1132.84
ORD-1057,2024-03-24,Latin America,Mid-Market,AI Solutions,AutoVision Suite,3,165.29,495.87,220.47
ORD-1058,2024-03-26,Latin America,Mid-Market,AI Solutions,NeuralBot API,4,409.23,1636.92,752.96
ORD-1059,2024-03-27,Europe,Mid-Market,Developer Tools,DebugPro X,12,448.98,5387.76,1137.07
ORD-1060,2024-03-28,Europe,Enterprise,Developer Tools,ContainerStack,6,197.67,1186.02,310.76
ORD-1061,2024-03-30,Europe,Startup,Cloud Storage,S3 Glacier Sync,10,63.73,637.3,136.98
ORD-1062,2024-03-31,Latin America,Government,Cloud Storage,Cold Vault,12,196.99,2363.88,1255.57
ORD-1063,2024-04-02,Latin America,Mid-Market,Developer Tools,CodePiper CI,7,88.41,618.87,136.57
ORD-1064,2024-04-03,Europe,Government,AI Solutions,Copilot Studio,7,112.26,785.82,198.89
ORD-1065,2024-04-05,Latin America,Mid-Market,Cloud Storage,S3 Glacier Sync,3,407.83,1223.49,377.24
ORD-1066,2024-04-06,Asia Pacific,Enterprise,AI Solutions,AutoVision Suite,5,132.95,664.75,154.45
ORD-1067,2024-04-08,Europe,Government,Developer Tools,CodePiper CI,1,127.98,127.98,33.6
ORD-1068,2024-04-09,Latin America,Enterprise,Cloud Storage,S3 Glacier Sync,9,347.09,3123.81,974.55
ORD-1069,2024-04-11,Latin America,Mid-Market,AI Solutions,Copilot Studio,5,325.27,1626.35,598.24
ORD-1070,2024-04-12,Latin America,Enterprise,Developer Tools,ContainerStack,5,104.07,520.35,175.23
ORD-1071,2024-04-14,Latin America,Government,AI Solutions,NeuralBot API,14,434.96,6089.44,2931.84
ORD-1072,2024-04-15,Europe,Enterprise,Cloud Storage,S3 Glacier Sync,5,263.06,1315.3,354.18
ORD-1073,2024-04-17,Latin America,Startup,AI Solutions,AutoVision Suite,10,477.12,4771.2,2646.45
ORD-1074,2024-04-18,North America,Enterprise,Cloud Storage,S3 Glacier Sync,3,276.41,829.23,449.94
ORD-1075,2024-04-19,Asia Pacific,Government,Developer Tools,ContainerStack,2,61.93,123.86,53.79
ORD-1076,2024-04-21,Asia Pacific,Startup,Developer Tools,DebugPro X,3,339.48,1018.44,390.37
ORD-1077,2024-04-22,Latin America,Enterprise,Enterprise Software,HR Core,1,482.54,482.54,271.26
ORD-1078,2024-04-24,Asia Pacific,Startup,Enterprise Software,HR Core,14,58.2,814.8,193.74
ORD-1079,2024-04-25,Europe,Mid-Market,Enterprise Software,CRM Enterprise,8,223.43,1787.44,844.83
ORD-1080,2024-04-27,North America,Startup,AI Solutions,NeuralBot API,7,103.17,722.19,345.71
ORD-1081,2024-04-28,North America,Enterprise,Enterprise Software,ERP Suite Pro,5,485.41,2427.05,1017.39
ORD-1082,2024-04-30,North America,Startup,Developer Tools,ContainerStack,1,379.24,379.24,95.22
ORD-1083,2024-05-01,Asia Pacific,Enterprise,Developer Tools,ContainerStack,14,302.84,4239.76,1252.59
ORD-1084,2024-05-03,Europe,Government,AI Solutions,NeuralBot API,3,96.41,289.23,162.26
ORD-1085,2024-05-04,Latin America,Government,Developer Tools,CodePiper CI,6,183.94,1103.64,264.87
ORD-1086,2024-05-06,Europe,Startup,Enterprise Software,ERP Suite Pro,3,91.08,273.24,89.55
ORD-1087,2024-05-07,Asia Pacific,Government,Developer Tools,ContainerStack,10,334.33,3343.3,1268.38
ORD-1088,2024-05-08,North America,Startup,Enterprise Software,HR Core,5,388.57,1942.85,1003.74
ORD-1089,2024-05-10,Europe,Enterprise,Enterprise Software,ERP Suite Pro,10,488.41,4884.1,2922.51
ORD-1090,2024-05-11,Latin America,Enterprise,AI Solutions,Copilot Studio,13,207.91,2702.83,667.13
ORD-1091,2024-05-13,Europe,Enterprise,Cloud Storage,S3 Glacier Sync,12,440.09,5281.08,2827.45
ORD-1092,2024-05-14,North America,Enterprise,Developer Tools,DebugPro X,9,419.84,3778.56,1823.14
ORD-1093,2024-05-16,Europe,Government,Enterprise Software,CRM Enterprise,3,311.59,934.77,509.69
ORD-1094,2024-05-17,Europe,Government,Enterprise Software,HR Core,7,493.7,3455.9,1732.62
ORD-1095,2024-05-19,Europe,Mid-Market,AI Solutions,Copilot Studio,13,220.09,2861.17,1379.18
ORD-1096,2024-05-20,Latin America,Mid-Market,AI Solutions,Copilot Studio,14,271.68,3803.52,777.98
ORD-1097,2024-05-22,Latin America,Mid-Market,Cloud Storage,CloudDrive Business,9,384.9,3464.1,1636.5
ORD-1098,2024-05-23,Europe,Enterprise,Enterprise Software,HR Core,12,178.57,2142.84,1173.08
ORD-1099,2024-05-25,Asia Pacific,Enterprise,Cloud Storage,S3 Glacier Sync,12,490.06,5880.72,2484.03
ORD-1100,2024-05-26,Asia Pacific,Startup,Developer Tools,DebugPro X,5,496.83,2484.15,570.16
ORD-1101,2024-05-28,Asia Pacific,Startup,Developer Tools,CodePiper CI,2,124.8,249.6,71.57
ORD-1102,2024-05-29,North America,Startup,Enterprise Software,ERP Suite Pro,6,312.94,1877.64,1052.35
ORD-1103,2024-05-30,North America,Government,Developer Tools,DebugPro X,8,227.53,1820.24,441.78
ORD-1104,2024-06-01,Latin America,Enterprise,Cloud Storage,S3 Glacier Sync,8,209.01,1672.08,724.78
ORD-1105,2024-06-02,North America,Government,Enterprise Software,HR Core,6,64.54,387.24,120.78
ORD-1106,2024-06-04,Europe,Startup,Enterprise Software,ERP Suite Pro,13,459.92,5978.96,3162.96
ORD-1107,2024-06-05,Europe,Startup,Developer Tools,CodePiper CI,9,238.21,2143.89,1228.64
ORD-1108,2024-06-07,Europe,Government,Enterprise Software,ERP Suite Pro,7,235.06,1645.42,840.88
ORD-1109,2024-06-08,Europe,Startup,AI Solutions,NeuralBot API,11,317.36,3490.96,1230.06
ORD-1110,2024-06-10,Asia Pacific,Enterprise,AI Solutions,NeuralBot API,13,78.58,1021.54,219.35
ORD-1111,2024-06-11,North America,Mid-Market,Enterprise Software,HR Core,6,361.27,2167.62,896.83
ORD-1112,2024-06-13,Europe,Startup,AI Solutions,NeuralBot API,7,396.04,2772.28,1602.12
ORD-1113,2024-06-14,North America,Enterprise,Enterprise Software,ERP Suite Pro,14,142.27,1991.78,598.68
ORD-1114,2024-06-16,Latin America,Startup,Developer Tools,DebugPro X,1,352.27,352.27,157.55
ORD-1115,2024-06-17,Asia Pacific,Startup,Developer Tools,ContainerStack,10,274.17,2741.7,1070.59
ORD-1116,2024-06-19,Asia Pacific,Enterprise,Cloud Storage,CloudDrive Business,6,485.59,2913.54,685.74
ORD-1117,2024-06-20,Europe,Startup,Enterprise Software,HR Core,7,389.81,2728.67,1222.78
ORD-1118,2024-06-21,Europe,Mid-Market,AI Solutions,Copilot Studio,6,327.77,1966.62,1164.6
ORD-1119,2024-06-23,North America,Mid-Market,Cloud Storage,S3 Glacier Sync,11,90.95,1000.45,490.78
ORD-1120,2024-06-24,North America,Enterprise,Enterprise Software,HR Core,12,184.08,2208.96,904.44
ORD-1121,2024-06-26,Latin America,Government,Enterprise Software,CRM Enterprise,8,428.94,3431.52,1741.73
